"licking" "time_licking" "time_copulation"
1 26.6 253.58
1 31.6 268.94
1 21.3 187.77
1 16.9 229.28
1 20.1 188.64
1 24.1 317.88
1 12.9 231.56
1 3.6 124.21
1 7 38.79
1 36.7 310.1
1 37.6 266.79
1 14.7 177.17
1 17.2 180.94
1 21.5 293.09
0 0 50.54
0 0 105.6
0 0 125.15
0 0 91.56
0 0 119.04
0 0 21.54
